Product ID,Product Title,Product Type,Vendor,Product Tags,Primary Licensor
"222712589","Sig Delt  Gold Letters","Shirts > Short sleeve t-shirts","Sigma Delta Tau","RTS, Sigma Delta Tau","Sigma Delta Tau"
"222712617","SK - You've Met Your Match","Shirts > Short sleeve t-shirts","Sigma Kappa","RTS, Sigma Kappa","Sigma Kappa"
"222712633","SK Feather Letters","Shirts > Short sleeve t-shirts","Sigma Kappa","Long Sleeve, RTS, sale bin, Sigma Kappa","Sigma Kappa"
"222712701","Theta Patriotic Racerback Tank","Shirts > Tank tops","Kappa Alpha Theta","America, blackfriday2016, Hid 170502, Kappa Alpha Theta, RTS, sale bin, saleaug2016, saleFEB2017, Shirt, Tank","Kappa Alpha Theta"
"228497925","Kiss Me I'm a DG","Shirts > Short sleeve t-shirts","Delta Gamma","campaign_past_campaign, Delta Gamma, GroupBuy, past_campaign_temp","Delta Gamma"
"229042309","TSL - Test Tank","Shirts > Tank tops","TSL Couture (Private)","campaign_past_campaign, past_campaign_temp","Various"
"229533253","Sigma Kappa Spirit Jersey","Shirts > Jerseys","Sigma Kappa (Private)","campaign_past_campaign, past_campaign_temp","Sigma Kappa"
"229558681","Sigma Kappa Spirit Jersey","Shirts > Jerseys","Sigma Kappa","campaign_past_campaign, past_campaign_temp, Sigma Kappa","Sigma Kappa"
"233145873","Winterfest Tanks","Shirts > Tank tops","Alpha Sigma Phi (Private)","campaign_past_campaign, past_campaign_temp","Various"
"233146361","Winterfest Tanks - Alpha Sig","Shirts > Tank tops","Alpha Sigma Phi (Private)","campaign_past_campaign, past_campaign_temp","Alpha Sigma Phi"
"234087965","SK - Pomona Racerback","Shirts > Tank tops","Sigma Kappa (Private)","campaign_past_campaign, past_campaign_temp","Sigma Kappa"
"235390033","Land of the Phi Boxy Tank","Shirts > Tank tops","Alpha Phi","Alpha Phi, America, Crop, RTS, saleaug2016, Shirt, Tank, Trunk Show","Alpha Phi"
"235392221","APHI - Love Potion","Shirts > Short sleeve t-shirts","Alpha Phi","Alpha Phi, Clearance Tank, HIDDENJUNE2017, RESTOCK, RTS, saleaug2016, saleFEB2017, Shirt, Tank","Alpha Phi"
"235393789","AXO - Tribal Letters Tank","Shirts > Tank tops","Alpha Chi Omega","Alpha Chi Omega, AMG RTS, AXO Hidden, RESTOCK, RTS, Spring Break, Tank","Alpha Chi Omega"
"235395369","DG - Dream Catcher Slit Back","Shirts > Tank tops","Delta Gamma","Delta Gamma, RTS","Delta Gamma"
"235396309","Just DG It Sporty Racerback","Shirts > Tank tops","Delta Gamma","bring back, Delta Gamma, RESTOCK, RTS","Delta Gamma"
"235396957","DG - Lacey Anchor Tank","Shirts > Tank tops","Delta Gamma","blackfriday2016, Clearance Tank, Delta Gamma, RESTOCK, RTS, saleaug2016, saleFEB2017, Shirt, SpringBreak2017, Tank","Delta Gamma"
"235398837","Tribal Anchor Pullover","Apparel > Sweaters","Delta Gamma","Clearance LS Crew, Delta Gamma, RTS, sale bin, saleaug2016, saleFEB2017, Spring Break, Sweatshirt","Delta Gamma"
"235399553","Theta Cutoff Tank","Shirts > Tank tops","Kappa Alpha Theta","Kappa Alpha Theta, RESTOCK, RTS, saleaug2016, Shirt, Tank, Trunk Show","Kappa Alpha Theta"
"235400693","KD - Aztec Tank","Shirts > Tank tops","Kappa Delta","Kappa Delta, RTS, Tank","Kappa Delta"
"236634261","ADPI - Crop Tank","Shirts > Tank tops","Alpha Delta Pi (Private)","campaign_past_campaign, past_campaign_temp","Alpha Delta Pi"
"237155865","CornHole Tourney - Tee","Shirts > Short sleeve t-shirts","Pi Kappa Alpha (private)","campaign_past_campaign, past_campaign_temp","Various"
"237159365","CornHole Tourney - Racerback","Shirts > Tank tops","Pi Kappa Alpha (private)","campaign_past_campaign, past_campaign_temp","Various"
"237381913","DG - Neon Snapbacks!","Headwear > Billed hats","Delta Gamma","campaign_past_campaign, Delta Gamma, past_campaign_temp","Delta Gamma"
"237978845","KAO Monogram Quarter Zip","Sweatshirts > 1/4 zip sweatshirts","Kappa Alpha Theta (Private)","campaign_past_campaign, past_campaign_temp","Kappa Alpha Theta"
"238056645","Shipwrecked CaboBandz","Hair accessories > Headbands","Delta Gamma (Private)","campaign_past_campaign, past_campaign_temp","Various"
"238060169","Kappa Alpha Phi Tank","Shirts > Tank tops","Alpha Phi (Private)","campaign_past_campaign, past_campaign_temp","Alpha Phi"
"238723845","KKG Crew Sweatshirt","Sweatshirts > Crewneck sweatshirts","Kappa Kappa Gamma (Private)","campaign_past_campaign, past_campaign_temp","Kappa Kappa Gamma"
"238724857","Custom Pocket Spring Break Tank","Shirts > Tank tops","Kappa Kappa Gamma (Private)","campaign_past_campaign, past_campaign_temp","Various"
"238725637","Kappa Muscle Tank","Shirts > Tank tops","Kappa Kappa Gamma (Private)","campaign_past_campaign, past_campaign_temp","Various"
"238727569","Boxy Crop Tank","Shirts > Tank tops","Kappa Kappa Gamma (Private)","campaign_past_campaign, past_campaign_temp","Various"
"238738569","KKG Boyfriend Sweatshirt","Sweatshirts > Crewneck sweatshirts","Kappa Kappa Gamma","campaign_past_campaign, Kappa Kappa Gamma, past_campaign_temp","Kappa Kappa Gamma"
"238739185","KKG Spring Break Tank","Shirts > Tank tops","Kappa Kappa Gamma","campaign_past_campaign, Kappa Kappa Gamma, past_campaign_temp","Kappa Kappa Gamma"
"238740153","KKG Muscle Tee","Shirts > Tank tops","Kappa Kappa Gamma","campaign_past_campaign, Kappa Kappa Gamma, past_campaign_temp","Kappa Kappa Gamma"
"238744637","Sigma Kappa Flowy Long Sleeve","Shirts > Long sleeve t-shirts","Sigma Kappa (Private)","campaign_past_campaign, past_campaign_temp","Sigma Kappa"
"239928249","DG USA Pullover","Apparel > Sweaters","Delta Gamma (Private)","campaign_past_campaign, past_campaign_temp","Delta Gamma"
"240621041","Phi Guy / Soccer shirts!","Shirts > Jerseys","Phi Mu (Private)","campaign_past_campaign, past_campaign_temp","Various"
"241013781","Custom Pocket Tank","Shirts > Tank tops","Alpha Phi (Private)","campaign_past_campaign, past_campaign_temp","Various"
"241014313","Custom Pocket Tee","Shirts > Short sleeve t-shirts","Alpha Phi (Private)","campaign_past_campaign, past_campaign_temp","Various"
"241015053","Triad Black Unisex Tank","Shirts > Tank tops","Alpha Phi (Private)","campaign_past_campaign, past_campaign_temp","Various"
"241016093","Triad Power Washed Tank","Shirts > Tank tops","Alpha Phi (Private)","campaign_past_campaign, past_campaign_temp","Various"
"241631469","Theta Date Tank","Shirts > Tank tops","Kappa Alpha Theta (Private)","campaign_past_campaign, past_campaign_temp","Kappa Alpha Theta"
"241632305","NON Theta Date Tank","Shirts > Tank tops","Kappa Alpha Theta (Private)","campaign_past_campaign, past_campaign_temp","Kappa Alpha Theta"
"241633349","NON Theta Date Racerback","Shirts > Tank tops","Kappa Alpha Theta (Private)","campaign_past_campaign, past_campaign_temp","Kappa Alpha Theta"
"241634101","Theta Date Racerback","Shirts > Tank tops","Kappa Alpha Theta (Private)","campaign_past_campaign, past_campaign_temp","Kappa Alpha Theta"
"241694477","DG - Woke Up Tank","Shirts > Tank tops","Delta Gamma (Private)","campaign_past_campaign, past_campaign_temp","Delta Gamma"
"241701101","DG - Woke Up Flawless","Shirts > Short sleeve t-shirts","Delta Gamma","campaign_past_campaign, Delta Gamma, past_campaign_temp","Delta Gamma"
"241932985","Roll Wave Flowy Racer Tank","Shirts > Tank tops","Pi Beta Phi (Private)","campaign_past_campaign, past_campaign_temp","Various"
"241942121","Just Cure It Tee","Shirts > Short sleeve t-shirts","Alpha Chi Omega (Private)","campaign_past_campaign, past_campaign_temp","Various"
"241942965","Just Cure It V-neck","Shirts > Short sleeve t-shirts","Alpha Chi Omega (Private)","campaign_past_campaign, past_campaign_temp","Various"
"241944841","Just Cure It Crewneck","Sweatshirts > Crewneck sweatshirts","Alpha Chi Omega (Private)","campaign_past_campaign, past_campaign_temp","Various"
"241961261","AXO Charcoal Heather Quarter Zip","Sweatshirts > 1/4 zip sweatshirts","Alpha Chi Omega (Private)","campaign_past_campaign, past_campaign_temp","Alpha Chi Omega"
"244084225","Spring Break Muscle Tee","Shirts > Tank tops","TSL Couture (Private)","campaign_past_campaign, past_campaign_temp","Various"
"245086829","Hera Day Lyre V-Neck","Shirts > Short sleeve t-shirts","Alpha Chi Omega (Private)","campaign_past_campaign, past_campaign_temp","Various"
"245094001","Hera Day Lyre V-Neck","Shirts > Short sleeve t-shirts","Alpha Chi Omega (Private)","campaign_past_campaign, past_campaign_temp","Various"
"246090481","Do Good V-Neck","Shirts > Short sleeve t-shirts","Delta Gamma","campaign_past_campaign, Delta Gamma, past_campaign_temp","Delta Gamma"
"246094529","DG Love HP Simple Tee","Shirts > Short sleeve t-shirts","Delta Gamma","campaign_past_campaign, Delta Gamma, past_campaign_temp","Delta Gamma"
"248466153","Theta Republic - Flowy Vneck","Shirts > Short sleeve t-shirts","Kappa Alpha Theta","campaign_past_campaign, Kappa Alpha Theta, past_campaign_temp","Kappa Alpha Theta"
"248471985","UCI Theta Republic - Flowy Vneck","Shirts > Short sleeve t-shirts","Kappa Alpha Theta (Private)","campaign_past_campaign, past_campaign_temp","Kappa Alpha Theta"
"248650377","Aphi CaboBandz!","Hair accessories > Headbands","Alpha Phi","Alpha Phi, Cabobandz, Spring Break","Alpha Phi"
"248651473","Theta CaboBandz!","Sports > Wristbands","Kappa Alpha Theta","Cabobandz, Kappa Alpha Theta, Shirt, Spring Break","Kappa Alpha Theta"
"248651869","AXO CaboBandz!","Sports > Wristbands","Alpha Chi Omega","Alpha Chi Omega, AXO Hidden, Cabobandz, Spring Break","Alpha Chi Omega"
"248652237","DG CaboBandz!","Sports > Wristbands","Delta Gamma","Cabobandz, Delta Gamma, Spring Break","Delta Gamma"
"248652825","KKG CaboBandz!","Sports > Wristbands","Kappa Kappa Gamma","Cabobandz, Kappa Kappa Gamma, Spring Break","Kappa Kappa Gamma"
"248653185","Pi Phi CaboBandz!","Sports > Wristbands","Pi Beta Phi","Cabobandz, Pi Beta Phi, Spring Break","Pi Beta Phi"
"248654653","Sigma Kappa CaboBandz!","Sports > Wristbands","Sigma Kappa","Cabobandz, Sigma Kappa, Spring Break","Sigma Kappa"
"248665277","Theta - Bout that Life","Shirts > Short sleeve t-shirts","Kappa Alpha Theta","campaign_past_campaign, Kappa Alpha Theta, past_campaign_temp","Kappa Alpha Theta"
"248668985","DG - Sail Away Muscle Tank","Shirts > Tank tops","Delta Gamma","campaign_past_campaign, Delta Gamma, past_campaign_temp","Delta Gamma"
"248670049","APHI - Neon Heart Tank","Shirts > Tank tops","Alpha Phi","Alpha Phi, campaign_past_campaign, past_campaign_temp","Alpha Phi"
"248670709","AXO - Sun Fun Racerback","Shirts > Tank tops","Alpha Chi Omega","Alpha Chi Omega, AXO Hidden, campaign_past_campaign, past_campaign_temp","Alpha Chi Omega"
"248670729","Theta Hawaiian 5 Panel","Headwear > Billed hats","Kappa Alpha Theta","campaign_past_campaign, Kappa Alpha Theta, past_campaign_temp","Kappa Alpha Theta"
"248673629","Sigma Kappa At Heart","Shirts > Short sleeve t-shirts","Sigma Kappa","Sigma Kappa, Spring Break","Sigma Kappa"
"248674477","Cabo Spring Break Official Tank","Shirts > Tank tops","The Social Life","ALL, campaign_past_campaign, General, past_campaign_temp","Various"
"248688101","KKG Red Floral 5 Panel","Headwear > Billed hats","Kappa Kappa Gamma","campaign_past_campaign, Kappa Kappa Gamma, past_campaign_temp","Kappa Kappa Gamma"
"248730029","Sigma Kappa - Snapbacks","Headwear > Billed hats","Sigma Kappa","Sigma Kappa","Sigma Kappa"
"248986229","AXO Foil Flowy Racerback Tank","Shirts > Tank tops","Alpha Chi Omega (Private)","campaign_past_campaign, past_campaign_temp","Alpha Chi Omega"
"248995861","AXO Gold Foil Flowy Racerback Tank","Shirts > Tank tops","Alpha Chi Omega","Alpha Chi Omega, AXO Hidden, campaign_past_campaign, past_campaign_temp","Alpha Chi Omega"
"249275689","Viva La KKG!","Shirts > Short sleeve t-shirts","Kappa Kappa Gamma","Kappa Kappa Gamma","Kappa Kappa Gamma"
"249286129","Vandal Friday ""Ramones"" Dolman","Shirts > Short sleeve t-shirts","Kappa Kappa Gamma (Private)","campaign_past_campaign, past_campaign_temp","Various"
"249297445","Top Gun Tank","Shirts > Tank tops","Kappa Alpha Theta (Private)","campaign_past_campaign, past_campaign_temp","Various"
"249844777","UCI Theta x Disneyland Racerback","Shirts > Tank tops","Kappa Alpha Theta (Private)","campaign_past_campaign, past_campaign_temp","Kappa Alpha Theta"
"250353301","KKG Michigan St. Pattys","Shirts > Short sleeve t-shirts","Kappa Kappa Gamma (Private)","campaign_past_campaign, past_campaign_temp","Kappa Kappa Gamma"
"250357137","Aphi Flowy Spring Break Tank","Shirts > Tank tops","Alpha Phi (Private)","campaign_past_campaign, past_campaign_temp","Alpha Phi"
"254903165","USC KKG Red Floral 5 Panel","Headwear > Billed hats","Kappa Kappa Gamma (Private)","campaign_past_campaign, past_campaign_temp","Kappa Kappa Gamma"
"254903893","USC KKG CaboBandz!","Sports > Wristbands","Kappa Kappa Gamma (Private)","campaign_past_campaign, past_campaign_temp","Kappa Kappa Gamma"
"254913657","All Good Things Muscle Tank","Shirts > Tank tops","The Social Life","ALL, campaign_past_campaign, General, past_campaign_temp","Various"
"255002625","U of A Sigma Kappa CaboBandz","Sports > Wristbands","Sigma Kappa (Private)","campaign_past_campaign, past_campaign_temp","Sigma Kappa"
"255987397","APHI - Letters Long Sleeve","Shirts > Long sleeve t-shirts","Alpha Phi","Alpha Phi, campaign_past_campaign, GroupBuy, past_campaign_temp","Alpha Phi"
"256990001","Theta Cali Flag","Household items > Flags","Kappa Alpha Theta (Private)","campaign_past_campaign, past_campaign_temp","Kappa Alpha Theta"
"256995337","Theta Loving Tank","Shirts > Tank tops","Kappa Alpha (Private)","campaign_past_campaign, past_campaign_temp","Kappa Alpha Theta"
"257016765","Theta Lovin Tank GB","Shirts > Tank tops","Kappa Alpha Theta","campaign_past_campaign, Kappa Alpha Theta, past_campaign_temp","Kappa Alpha Theta"
"257350233","Marilyn Crewneck Sweatshirt - Black","Sweatshirts > Crewneck sweatshirts","Kappa Kappa Gamma (Private)","campaign_past_campaign, past_campaign_temp","Various"
"257351849","Marilyn Crewneck Sweatshirt - Red","Sweatshirts > Crewneck sweatshirts","Kappa Kappa Gamma (Private)","campaign_past_campaign, past_campaign_temp","Various"
"258380169","Phi Ball Triblend Racerback","Shirts > Tank tops","Alpha Phi (Private)","campaign_past_campaign, past_campaign_temp","Various"
"258402201","Chi O Long Sleeve Pocket Tee","Shirts > Long sleeve t-shirts","Chi Omega (Private)","campaign_past_campaign, past_campaign_temp","Chi Omega"
"258418933","Greek Week Racerback Tank","Shirts > Tank tops","Greek Week","campaign_past_campaign, past_campaign_temp","Various"
"258420721","Greek Week Bro Tank","Shirts > Tank tops","Greek Week","campaign_past_campaign, past_campaign_temp","Various"
"261302153","UCSB Tri Delt - Shoot for the Stars","Shirts > Short sleeve t-shirts","Delta Delta Delta (Private)","campaign_past_campaign, past_campaign_temp","Delta Delta Delta"
"261836657","Aphi WSU Crew Sweatshirt","Sweatshirts > Crewneck sweatshirts","Alpha Phi (Private)","campaign_past_campaign, past_campaign_temp","Alpha Phi"
"261839565","Aphi WSU Zip Hoodie - Red","Sweatshirts > Zip-up sweatshirts","Alpha Phi (Private)","campaign_past_campaign, past_campaign_temp","Alpha Phi"
"261848829","Aphi WSU Zip Hoodie - Slate","Sweatshirts > Zip-up sweatshirts","Alpha Phi (Private)","campaign_past_campaign, past_campaign_temp","Alpha Phi"
"261862465","TriDelt Neon Spring Break Tank","Shirts > Tank tops","Delta Delta Delta","campaign_past_campaign, Delta Delta Delta, GroupBuy, past_campaign_temp","Delta Delta Delta"
"261981809","Sigma Chi - Mom's Weekend","Shirts > Short sleeve t-shirts","Sigma Chi (Private)","campaign_past_campaign, past_campaign_temp","Sigma Chi"
"262047865","Phi Ball Bro Tank","Shirts > Tank tops","Alpha Phi (Private)","campaign_past_campaign, past_campaign_temp","Various"
"262316797","Spring Break FOREVER Tank","Shirts > Tank tops","The Social Life","campaign_past_campaign, General, past_campaign_temp","Various"
"262344077","UCLA Tri Delt - Shoot for the Stars","Shirts > Short sleeve t-shirts","Delta Delta Delta (Private)","campaign_past_campaign, past_campaign_temp","Delta Delta Delta"
"264945949","Amherst Greek Week Jerseys","Shirts > Jerseys","Greek Week","campaign_past_campaign, past_campaign_temp","Various"
"265324009","Phiesta Fanny Pack","Bags > Fanny packs","Alpha Phi (Private)","campaign_past_campaign, past_campaign_temp","Various"
"265342953","Pi Phi Big/Little Simple Tee","Shirts > Short sleeve t-shirts","Pi Beta Phi (Private)","campaign_past_campaign, past_campaign_temp","Pi Beta Phi"
"266461401","Coachella Flowy Muscle Tank","Shirts > Tank tops","The Social Life","ALL, campaign_past_campaign, General, past_campaign_temp","Various"
"266488737","APHI - Let It Be V-Neck","Shirts > Short sleeve t-shirts","Alpha Phi","Alpha Phi, campaign_past_campaign, past_campaign_temp","Alpha Phi"
"266515265","Coachella Phone Case","Promotional > Cell phone cases","The Social Life","ALL, campaign_past_campaign, General, past_campaign_temp","Various"
"266560893","ASU Greek Week - Delta Chi","Shirts > Short sleeve t-shirts","Greek Week","campaign_past_campaign, past_campaign_temp","Delta Chi"
"266561741","ASU Greek Week - Sigma Kappa","Shirts > Short sleeve t-shirts","Greek Week","campaign_past_campaign, past_campaign_temp","Sigma Kappa"
"266562369","ASU Greek Week - Theta Delta Chi","Shirts > Short sleeve t-shirts","Greek Week","campaign_past_campaign, past_campaign_temp","Delta Chi"
"268816545","Anchorbowl AA Unisex Tank","Shirts > Tank tops","Delta Gamma (Private)","campaign_past_campaign, past_campaign_temp","Various"
"269174289","APHI - Crest 1/4 Zip Sweatshirt","Sweatshirts > 1/4 zip sweatshirts","Alpha Phi (Private)","campaign_past_campaign, past_campaign_temp","Alpha Phi"
"269793265","Beta D Lake 1/4 Zip Sweatshirt","Sweatshirts > 1/4 zip sweatshirts","Beta Theta Pi (Private)","campaign_past_campaign, past_campaign_temp","Beta Theta Pi"
"269793481","Beta D Lake Hooded Sweatshirt","Sweatshirts > Hooded sweatshirts","Beta Theta Pi (Private)","campaign_past_campaign, past_campaign_temp","Beta Theta Pi"
"270331881","Kat at Bat - Flowy Racerback","Shirts > Tank tops","Kappa Alpha Theta (Private)","campaign_past_campaign, past_campaign_temp","Kappa Alpha Theta"
"270333901","Kat at Bat - Bro Tank","Shirts > Tank tops","Kappa Alpha Theta (Private)","campaign_past_campaign, past_campaign_temp","Kappa Alpha Theta"
"271460433","LCA Watermelon Bust Racerback Tank","Shirts > Tank tops","Lambda Chi Alpha (Private)","campaign_past_campaign, past_campaign_temp","Lambda Chi Alpha"
"271478573","Theta - Wonka Skit Shirts","Shirts > Short sleeve t-shirts","Kappa Alpha Theta (Private)","campaign_past_campaign, past_campaign_temp","Kappa Alpha Theta"
"272783369","Anchorbowl Crop Tank II","Shirts > Tank tops","Delta Gamma (Private)","campaign_past_campaign, past_campaign_temp","Various"
"274422285","Sig Ep Regatta Tank","Shirts > Tank tops","Sigma Phi Epsilon (Private)","campaign_past_campaign, past_campaign_temp","Sigma Phi Epsilon"
"275369573","Alpha Phi Let It Be V-Neck","Shirts > Short sleeve t-shirts","Alpha Phi (Private)","campaign_past_campaign, past_campaign_temp","Alpha Phi"
"276315821","Aphi UCSB Spring Pocket Tee","Shirts > Short sleeve t-shirts","Alpha Phi (Private)","campaign_past_campaign, past_campaign_temp","Alpha Phi"
"276318609","Aphi UCSB White Pocket Tank","Shirts > Tank tops","Alpha Phi (Private)","campaign_past_campaign, past_campaign_temp","Alpha Phi"
"276372049","Aphi UCSB Spring Bro Tank","Shirts > Tank tops","Alpha Phi (Private)","campaign_past_campaign, past_campaign_temp","Alpha Phi"
"277443169","DG Flowy V-Neck Tank","Shirts > Tank tops","Delta Gamma (Private)","campaign_past_campaign, past_campaign_temp","Delta Gamma"
"278009593","Classic Pike Tank - Pink","Shirts > Tank tops","Pi Kappa Alpha (private)","campaign_past_campaign, past_campaign_temp","Pi Kappa Alpha"
"278010665","Classic Pike Tank - Red","Shirts > Tank tops","Pi Kappa Alpha (private)","campaign_past_campaign, past_campaign_temp","Pi Kappa Alpha"
"278011501","Classic Pike Tank - Black","Shirts > Tank tops","Pi Kappa Alpha (private)","campaign_past_campaign, past_campaign_temp","Pi Kappa Alpha"
"278012489","Classic Pike Tank - Grey","Shirts > Tank tops","Pi Kappa Alpha (private)","campaign_past_campaign, past_campaign_temp","Pi Kappa Alpha"
"278105421","Stagecoach Flowy Muscle Tank","Shirts > Tank tops","The Social Life","campaign_past_campaign, General, past_campaign_temp","Various"
"278135969","AXO -  Tribal Off the Shoulder Sweatshirt","Sweatshirts > Crewneck sweatshirts","Alpha Chi Omega","Alpha Chi Omega, AXO Hidden, instagram, RESTOCK, RTS","Alpha Chi Omega"
"278152497","AXO - Tribal Unisex Tank","Shirts > Tank tops","Alpha Chi Omega","Alpha Chi Omega, instagram, RTS, Tee","Alpha Chi Omega"
"278181533","AXO - Skull Crop","Shirts > Crop tops","Alpha Chi Omega","Alpha Chi Omega, RTS, Tee","Alpha Chi Omega"
"278211461","Coachella Flowy Muscle Tank","Shirts > Tank tops","The Social Life","ALL, General, Instagram, RTS","Various"
